step,branch,stage,parent_stage,filter_description,unit,count_before,count_removed,count_after,is_terminal,verified_against,paper_number,note
0,trunk,AIDev pull-request backbone,,"every pull request in the AIDev release's pull_request.parquet, before any study restriction",pull requests,361296,0,361296,False,,,chain origin; nothing removed
1,trunk,Has recognised-agent review feedback,AIDev pull-request backbone,"keep pull requests carrying at least one review event written by one of the six mapped agent accounts, timestamped between the PR opening and its close, and no later than the 2026-04-15 observation cutoff",pull requests,361296,283882,77414,False,,,
2,trunk,Has cross-product agent feedback,Has recognised-agent review feedback,keep pull requests where at least one of those agent review events was written by a product different from the PR's authoring product,pull requests,77414,68792,8622,False,,,
3,trunk,Cross-product trigger cohort,Has cross-product agent feedback,"keep pull requests whose FIRST cross-product agent review event leaves a complete 7-day response window before the observation cutoff, i.e. trigger no later than 2026-04-08",pull requests,8622,14,8608,True,outputs/cross_agent_review/cross_feedback_response_chains.parquet,8608,
4,trunk,Inline-trigger cohort (in scope for the addressed edge),Cross-product trigger cohort,"keep pull requests whose first cross-product review arrived as an inline review comment; review summaries and PR-level comments carry no reply target, so no addressed edge can ever be built for them",pull requests,8608,3784,4824,True,outputs/anchorability_coverage/trigger_channel_composition.csv,4824,
5,A: outcome lane,Merge-curve cohort (30-day outcome horizon),Inline-trigger cohort (in scope for the addressed edge),"keep pull requests whose trigger leaves a complete 30-day outcome horizon before the observation cutoff, i.e. trigger no later than 2026-03-16; the remainder cannot be followed for the full window",pull requests,4824,882,3942,True,outputs/addressed_edge_scope/landmark_selection_funnel.csv; scripts/analysis/run_merge_curves.py EXPECTED_POPULATION,3942,
6,A: outcome lane,Hour-48 landmark cohort,Merge-curve cohort (30-day outcome horizon),keep pull requests still open 48 hours after the trigger; the removed ones had already closed before the outcome window opened,pull requests,3942,2875,1067,True,outputs/addressed_edge_landmark/analysis_cohort.parquet; outputs/addressed_edge_scope/landmark_selection_funnel.csv,1067,
7,B: thread-position lane,Thread-position cohort,Inline-trigger cohort (in scope for the addressed edge),keep pull requests whose earliest agent review trigger of EITHER relation is the cross-product one; a pull request that a same-product reviewer had already commented on earlier is relabelled same-product when the two trigger tables are merged and one row per PR is kept,pull requests,4824,1298,3526,True,outputs/task_context_interaction/answer_rate_cells.csv,3526,"no 30-day outcome horizon is applied on this branch, so it is a sibling of the merge-curve cohort, not its parent or child"
8,A: outcome lane,Exposed pull requests (exact addressed edge by hour 48),Hour-48 landmark cohort,"keep pull requests carrying at least one later inline comment whose stored reply target is the trigger comment's own identifier, posted within 48 hours of the trigger",pull requests,1067,958,109,True,outputs/addressed_edge_landmark/denominators.csv,109,
9,A: outcome lane (event unit),Exposure reply events,Exposed pull requests (exact addressed edge by hour 48),"switch of unit: the 109 exposed pull requests carry 128 exact reply events between them, because a pull request can receive more than one",reply events,128,0,128,True,outputs/addressed_edge_landmark/exact_parent_reply_event_audit.parquet,128,"unit change, not a filter; 128 events on 109 PRs"
10,A: outcome lane (event unit),User-account-written exposure events,Exposure reply events,"keep reply events written by ordinary user accounts; the removed ones come from the triggering product itself, other bots, and mapped products other than the trigger's author",reply events,128,23,105,True,outputs/addressed_edge_scope/exposure_event_composition.csv; outputs/user_account_automation/summary.json,105,these 105 events fall on 97 pull requests
11,A: outcome lane (event unit),Substantive user-written exposure events,User-account-written exposure events,"keep reply events the pre-specified rule set classifies as a substantive response, dropping platform text, routing hand-offs to another automation, and bare acknowledgements",reply events,105,46,59,True,outputs/user_account_automation/reply_content_category_counts.csv,,these 59 events fall on 56 pull requests
