normalised_edge_text,edge_events
open a new pull request to apply changes based on [this feedback](,3
addressed,2
"not bad copilot, not bad",1
fixed.,1
done in [ f a](,1
already is in devdeps..,1
seems like overkill.,1
done in [c fde](,1
"nice catch, copilot. it should have also caught the info being a cuda tensor.",1
,1
fixed,1
that's right. please create issue?,1
", address this feedback",1
", what do you say?",1
"please generate appliable code suggestion directly, i applied the suggestion from qodo merge, but now the ci failed:",1
the original issue was that the voting button wasn't updating properly when voting windows opened/closed. adding usememo would prevent this real-time behavior.,1
we use a dummy classifier so it's fine,1
fix this,1
could you please address this?,1
"`emptymessage` isn't used. no instances in the codebase. <img width="" "" height="" "" alt=""image"" src="" />",1
consider and implement this comment and suggestion.,1
"you did not follow the suggestion in the comment. implement this suggestion: always append both http:// and https:// variants regardless of the original scheme so cross‑scheme lookups succeed. this is important, since we don't know, which scheme is potentially saved in the credential helper.",1
"<img width="" "" height="" "" alt=""image"" src="" />",1
updated,1
fix,1
"✅ fixed in commit f fedf removed unsafe type casting and improved schema handling: - only include 'required' field when it exists and has items - properly preserve all json schema fields (anyof, oneof, additionalproperties, etc.) - type-safe schema construction without unsafe casts",1
"don't cache negative results during failures (isallowed = false from fallback) - the false might be due to the api being down, not actual lack of permissions - you'd be caching an uncertain state as if it were authoritative",1
we don't have access to private membershipt from that token you stoopid,1
we should disable copilot now i think,1
"as copilot says, should this be included here?",1
"thanks for the contribution, can you apply this suggestion?",1
i'm fine with this tradeoff.,1
consider this：,1
resolve,1
"excellent catch - this is a critical compatibility issue. after reviewing the quilt source code, you're correct that quilt currently expects standard s event names (e.g., 'objectcreated:put', 'objectremoved:delete') and would not process eventbridge detail-types ('object created', 'object deleted') without modification. the current quilt indexer code in `lambdas/indexer/src/t _lambda_es_indexer/index.py` specifically checks for events starting with 'objectcreated:' or 'objectremoved:' prefixes. the eventbridge detail-types would fail these checks. i'll update the documentation to add a lambda transformation layer that maps eventbridge detail-types to s event names: - ""object created"" → ""objectcreated:put"" - ""object deleted"" → ""objectremoved:delete"" this ensures compatibility without requiring quilt code changes. the updated guide will include: . a lambda function for event name transformation . updated eventbridge target configuration to use the lambda . clear warnings about this compatibility requirement",1
i figured it's ok to skip it for automattic.com as it's trusted.,1
fix the above condition,1
apply changes based on [this feedback](,1
"the caller `newgraphqlclient` already dereferences `p.client()` at line (`p.client().client()`), so if `p.client()` were nil it would panic before reaching `buildgraphqlendpoint`. adding a nil check here is redundant.",1
"what can you think of to solve this, before coding give me - options.",1
this would call it unconditionally on every draw..,1
"the race condition is real and there are diagnostic evidence that this fix resolved it. this, the before and after, got also tested multiple times. let me explain: **kotlin's expression evaluation order** in the expression `viewstate = viewstate.copy(hasunreadreviews = suspendcall())`, kotlin uses applicative-order (eager) evaluation. the receiver (`viewstate`) is evaluated before the function arguments: . `viewstate` is captured (e.g., `isrefreshing = true`) . `suspendcall()` executes and suspends the coroutine . during suspension, `fetchreviewlist()` completes and sets `viewstate.copy(isrefreshing = false)` . coroutine resumes . `.copy(hasunreadreviews = result)` is called on the stale captured `viewstate` from step . the resulting state has `isrefreshing = true` again, overwriting the change from step **diagnostic evidence** logging got added and this sequence was observed : after the fix: **why the fix works** now `viewstate` is read after the suspension point, getting the latest state. **references** - -",1
this works fine:,1
"you're not wrong, but this is the desired behavior. we want the script to fail if the item where not remove from the cache. we want to ensure the newly-built package is always used.",1
"fixed in e da — `deleterequest()` is now called after each governance response is processed, pruning the entry from `requestindex`.",1
"the `runblocking` here is safe because `datasource.factory.create()` is called by the [paging]( library inside `computablelivedata.compute()`, which runs on `archtaskexecutor.getiothreadexecutor()` (the default fetch executor). plus, the pre-room (wellsql) implementation was also synchronous/blocking on this same background thread — the `runblocking` wrapper was added to bridge the non-suspend `createdatasource` lambda with room's suspend dao queries, preserving the same threading behavior. fyi: and even if we wanted to refactor this further, to somehow remove `runblocking`, the only way to truly eliminate `runblocking` would be to not use `datasource.factory` at all — i.e., rewrite the paging layer to use [paging]( 's `pagingsource` which has a `suspend fun load()`. but that's a much larger refactor, well beyond the scope of this migration. ps: as such, the `runblocking` on the io executor is the correct approach here.",1
addressed in . updated readme examples/catalog to use `gpt- . -codex` and removed `codex-*` from `_is_supported_openai_model` so invalid aliases are no longer accepted. added unit coverage to keep `gpt- . -codex` valid and ensure `codex- . ` falls back to default.,1
addressed in closing this thread in favor of that follow-up pr.,1
"considering now we're on an edge case to the edge case, i think we're okay here",1
also to me the is the correct response code if that happens,1
"addressed in ` c a `. i reduced unsupported-host noise by logging the final ""no linux sleep inhibitor backend is available"" warning only once (`missing_backend_logged`), and i suppress per-backend warnings for simple `notfound` command cases.",1
"✅ addressed in commit d. implemented listener ordering and cleanup in electron path to avoid missed bind errors and listener leakage, matching the suggested race-condition fix pattern.\n\n🤖 *this content was generated with ai assistance using gpt- .*",1
"updated `parsenetworktarget()` fallback to strip schemes before manual host parsing and to fail-close hostless uris, so we don’t emit `http:`/`file:` as a host on parse failures. covered by the hostless-uri regression test.",1
correct — these tests are regression tests that lock the current json mode forwarding behavior to prevent accidental breakage. the `closes # ` reference links to the issue that identified the gap in test coverage for this code path.,1
"thanks. we intentionally use nullish coalescing here so `app.start( )` remains valid for dynamic port allocation. this behavior is covered by `frontend/server/app.test.ts` (`allows restarting on the same port after close resolves`), which explicitly starts with port ` `. treating ` ` as fallback would regress that behavior.",1
