search_date,route,query,result_count,screening_scope
2026-08-25,web search,"coding agent switching providers repository pull request sequential agent transition","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"\"switching\" \"coding agent\" pull requests GitHub","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"\"multiple coding agents\" repository adoption empirical GitHub","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"\"same developer\" switches coding agent GitHub pull requests","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"\"cross-provider\" coding agent pull request repository","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"\"agent transition\" pull requests coding agents","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"\"provider switching\" AI coding agents developers empirical","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"coding agent pull request prior outcome next contribution","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"site:arxiv.org/abs/2608 coding agent pull request multi-agent repository switching","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"coding agent pull request switching agent repository prior outcome merge rejected 2026","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"AIDev MSR 2026 mining challenge accepted papers agent pull request outcomes","top results; total unavailable","programme and paper relevance"
2026-08-25,web search,"agentic pull requests merge rejection AI coding agents empirical study 2026","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"multi agent coding agents open source repositories pull requests empirical 2026","top results; total unavailable","title/abstract relevance"
2026-08-25,web search,"\"AI Agent Pull Requests\" \"Merge Conflict Rates\"","top results; total unavailable","known-item verification"
2026-08-25,web search,"\"Habituation at the Gate\" AI coding agents","top results; total unavailable","known-item verification"
2026-08-25,web search,"\"Collaborator or Assistant?\" AI coding agents","top results; total unavailable","known-item verification"
2026-08-25,web search,"site:arxiv.org coding agents adoption GitHub 2607.14037","top results; total unavailable","known-item verification"
2026-08-25,official venue,"site:emsejournal.github.io/special_issues/2026_SI_Agentic_SE Agentic SE special issue submission","official page","venue fit"
2026-08-25,official journal,"site:link.springer.com/journal/10664 submission guidelines Empirical Software Engineering latex template","official page","submission requirements"
2026-08-25,official publisher,"site:springernature.com sn-jnl LaTeX template Springer Nature journals official","official page","template verification"
2026-08-25,web search,"site:arxiv.org/abs/2606.02875 Handoff Debt coding agents","known item","direct handoff novelty collision"
2026-08-25,web search,"site:arxiv.org/abs/2607.13196 agentic code review","known item","review-mechanism overlap"
2026-08-25,web search,"site:arxiv.org/abs/2607.03316 CodeRabbit agentic review","known item","review-mechanism overlap"
2026-08-25,official venue,"EMSE Agentic Software Engineering special issue 2026","official page","venue fit and deadline recheck"
