pr_id,response_event_id,response_user,response_user_type,response_actor_role,response_dt,readable_words,rule_category,human_category,human_verified,rule_agrees_with_reading,human_note,text_snippet
3048994775,2081395998,tomiir,User,other_human,2025-05-09 10:25:11+00:00,5,acknowledgement_only,acknowledgement_only,True,True,,"Not bad copilot, not bad"
3151118375,2152417088,saracarl,User,author_account,2025-06-17 14:24:23+00:00,1,acknowledgement_only,acknowledgement_only,True,True,,fixed.
3153690179,2156914252,takenagain,User,author_account,2025-06-19 12:34:34+00:00,4,acknowledgement_only,acknowledgement_only,True,True,,Done in [294f48a](https://github.com/KomodoPlatform/komodo-wallet/pull/2787/commits/294f48aa5888bb142f0ea2b779721eff4...
3159305613,2156533406,AVGVSTVS96,User,author_account,2025-06-19 09:12:15+00:00,4,acknowledgement_only,substantive_response,True,False,four words but a checkable technical fact ('already is in devdeps'),already is in devdeps..
3172263561,2164230263,rnorth,User,other_human,2025-06-24 14:45:26+00:00,3,acknowledgement_only,acknowledgement_only,True,True,,Seems like overkill.
3191839195,2177617995,takenagain,User,author_account,2025-07-01 13:31:12+00:00,4,acknowledgement_only,acknowledgement_only,True,True,,Done in [c352fde](https://github.com/KomodoPlatform/komodo-wallet/pull/2845/commits/c352fdec782d1cac330b1983e8c901946...
3291432970,2256158854,FunamaYukina,User,other_human,2025-08-06 07:32:16+00:00,0,acknowledgement_only,acknowledgement_only,True,True,,https://github.com/liam-hq/liam/pull/2888/commits/b21f1fd72678d99336b279300e12b817075362b7
3331797283,2356055538,rgthelen,User,author_account,2025-09-17 16:18:24+00:00,1,acknowledgement_only,acknowledgement_only,True,True,,Fixed
3348525997,2311044363,coderabbitai[bot],Bot,other_bot,2025-08-29 19:53:56+00:00,0,acknowledgement_only,,False,False,,> Skipped: comment is from another GitHub bot. <!-- This is an auto-generated reply by CodeRabbit -->
3387368929,2324956325,LeoGrin,User,author_account,2025-09-05 12:25:13+00:00,8,acknowledgement_only,substantive_response,True,False,eight words giving the reason the concern does not apply,we use a dummy classifier so it's fine
