rank,login,machine_likeness_score,comments,duplicate_normalised_text_share,inter_comment_gap_cv,narrow_band_gap_share,active_utc_hours,min_hour_share_of_uniform,comments_per_active_day,heuristics_tripped,flag_combined,edge_events_written,edge_prs_written,manual_judgement
1,marcellodebernardi,0.47075580519604543,109,0.44036697247706424,4.664142530916467,0.0297029702970297,16,0.0,18.166666666666668,0,False,1,1,"real person; the repeated string is '@greptileai please review again with latest changes', a hand-issued re-review trigger, and the rest is bespoke design prose"
2,weiguangli-io,0.45552801236983775,258,0.3657587548638132,4.318969906176444,0.020833333333333332,20,0.0,9.214285714285714,0,False,1,1,real person doing bulk triage with canned closing messages ('closing due to inactivity'); the message is boilerplate but the decision behind each one is not
3,PeterDaveHello,0.4437627531797524,152,0.5608108108108109,5.979568846320286,0.013245033112582781,16,0.0,8.941176470588236,1,False,3,1,"real person; trips template only because 56 percent of comments are agent invocations ('@codex review', '@coderabbitai review') typed by hand"
4,jcstein,0.4365092046306003,152,0.23076923076923078,5.699980195810963,0.052980132450331126,23,0.0,5.846153846153846,0,False,1,1,"real person driving an agent with short imperatives ('resume @copilot', 'resolve conflicts @copilot')"
5,yamcodes,0.43063645841826353,152,0.5217391304347826,2.8575296080889174,0.019867549668874173,19,0.0,4.0,1,False,1,1,"real person; 60 of 152 comments are the single token '@coderabbitai review', a repetitive habit rather than a script"
6,rvdbreemen,0.4177812056557103,438,0.1945080091533181,5.092238594819477,0.038901601830663615,20,0.0,7.963636363636364,0,False,1,1,"real person; the dominant string is GitHub's own 'apply changes based on this feedback' button text, so the repetition is the UI's, not the account's"
7,OliverZhaohaibin,0.4157800696548673,665,0.1927710843373494,6.23594477358722,0.05572289156626506,19,0.0,10.23076923076923,0,False,1,1,"real person delegating heavily through the GitHub UI button; high volume and boilerplate text, but every non-button comment is distinct"
8,Borda,0.4150760923868036,144,0.3515625,5.955090181864432,0.027972027972027972,22,0.0,4.114285714285714,0,False,1,1,real person; a recognised open-source maintainer mixing UI button text with bespoke review comments
9,clairernovotny,0.4028090661287556,153,0.10457516339869281,5.6461068917279835,0.04195804195804196,22,0.0,6.6521739130434785,0,False,2,2,"real person; long specific technical justifications, low duplication, ranked high only on breadth of active hours"
10,chmouel,0.3910342267755704,576,0.21541155866900175,4.121016193090571,0.01926444833625219,20,0.0,5.818181818181818,0,False,6,6,"real person; the repeats are Prow slash commands ('/lgtm', '/retest', '/gemini review') that a maintainer types dozens of times a week"
11,yvolovich-cyber,0.38243648160410876,96,0.3125,3.3346676262876733,0.05128205128205128,15,0.0,8.727272727272727,0,False,2,2,"real person; 30 of 96 comments are '@codex review', and the account also signs a CLA in its own words"
12,shaypal5,0.37374373033098773,120,0.3333333333333333,8.029974887721544,0.042735042735042736,18,0.0,4.285714285714286,0,False,1,1,real person; UI button text plus pre-commit.ci follow-ups and bespoke replies
13,jjmata,0.3668589599284751,180,0.21787709497206703,2.3573908414374043,0.01675977653631285,22,0.0,2.535211267605634,0,False,1,1,real person; '@coderabbitai review' repeats alongside informal notes such as 'will sweep missing strings later'
14,justin808,0.3596021690581679,322,0.1557632398753894,7.125758635357914,0.013245033112582781,16,0.0,9.2,0,False,1,1,real person; repeats '@claude review this pr' but writes specific CI diagnoses elsewhere
15,jeffspahr,0.34420477536597294,122,0.12295081967213115,2.1576354771675894,0.0,21,0.0,4.357142857142857,0,False,4,4,"real person; '/ok-to-test' and '/retest' are Prow commands, and the substantive comments are individually reasoned"
16,amalshaji,0.2952044649880341,24,0.5416666666666666,3.0250328424633577,0.13043478260869565,6,0.0,6.0,1,False,1,1,"real person; nine '@codex review' invocations dominate a small history, the remaining comments are specific to their threads"
17,giulio-leone,0.29241814973944014,23,0.6521739130434783,2.141397331454905,0.2727272727272727,8,0.0,3.8333333333333335,2,True,1,1,"the one account I would not defend as spontaneous human authorship: verbatim 'gentle ping', 'closing to reduce PR volume' and a structured 'intervention note' block reused across unrelated PRs with unusually regular gaps; reads as a semi-automated or copy-paste-driven contribution campaign"
18,bfullam,0.2918902191302013,13,0.6923076923076923,1.753114364044915,0.0,6,0.0,3.25,1,False,2,2,"real person with a terse style; 'addressed', 'agreed and done', 'nit' across only 13 comments is exactly the case the combined rule is designed not to flag"
19,HammerGS,0.2760040831986925,21,0.5625,4.091192709065926,0.0,6,0.0,4.2,1,False,1,1,real person with a terse style; 'addressed' and 'fixed' repeated over 21 comments
20,takenagain,0.2538283622785127,40,0.675,2.247890695765848,0.05128205128205128,15,0.0,1.8181818181818181,1,False,2,2,real person; '@coderabbitai review' plus 'done in <commit>' acknowledgements that differ by commit hash
