target,feature,coefficient
human_mediation_48h,text__giselle,1.9623539554873821
human_mediation_48h,text__team,1.7880923241451925
human_mediation_48h,text__order,-1.7131347047233965
human_mediation_48h,text__frontend,1.645156241252936
human_mediation_48h,text__liam,1.612325421294984
human_mediation_48h,text__giselles,1.6014065003239737
human_mediation_48h,text__giselles ai,1.6014065003239737
human_mediation_48h,text__css,1.5346350907952255
human_mediation_48h,text__or,-1.5023275136667575
human_mediation_48h,text__identifier,1.4417465129327636
human_mediation_48h,text__directly,-1.44101969420497
human_mediation_48h,text__owner,1.4236749761761567
human_mediation_48h,text__packages,1.4046327493542379
human_mediation_48h,text__expression,-1.3730647742618969
human_mediation_48h,text__terraform,-1.3616038482924662
human_mediation_48h,text__adds,-1.3522988449985107
human_mediation_48h,text__crewai,-1.3473846757887507
human_mediation_48h,text__pattern,-1.3146072442496237
human_mediation_48h,text__rustfs src,-1.3013115915917672
human_mediation_48h,text__notes,-1.299480796355059
human_mediation_48h,text__to be,1.2933990015291459
human_mediation_48h,text__helm,-1.288205522832217
human_mediation_48h,text__unreachable,-1.2855548637372591
human_mediation_48h,text__unnecessary,1.2824823109182597
human_mediation_48h,text__artifacts,1.2785272320667915
human_mediation_48h,text__properly,-1.2726631901238004
human_mediation_48h,text__ai backend,-1.2672856857790173
human_mediation_48h,text__license,1.245776864126732
human_mediation_48h,text__cs,-1.2453682267709172
human_mediation_48h,text__sentry,1.2404810487414668
author_agent_response_48h,cat__author_agent_Claude_Code,-2.2421143037012197
author_agent_response_48h,text__paths,2.0837735737188137
author_agent_response_48h,text__append,1.972824360297384
author_agent_response_48h,text__even when,1.9168593428930536
author_agent_response_48h,text__exists,-1.8566246743147283
author_agent_response_48h,text__aware,1.8456582583125978
author_agent_response_48h,text__result,-1.8261179788362156
author_agent_response_48h,text__set,1.743057531644479
author_agent_response_48h,text__found,-1.6616133847815528
author_agent_response_48h,text__account,-1.6557569606942943
author_agent_response_48h,text__once,1.6439609792918617
author_agent_response_48h,text__error,1.643920320389354
author_agent_response_48h,text__bun,1.6302135956346764
author_agent_response_48h,text__server,1.6077238222517678
author_agent_response_48h,text__inline,1.596826825980784
author_agent_response_48h,text__checksum,1.5890343659350774
author_agent_response_48h,text__appropriate,-1.5721184076194685
author_agent_response_48h,text__compilation,1.571028082974275
author_agent_response_48h,text__promise,1.5505339442658428
author_agent_response_48h,text__size,1.5503903160564008
author_agent_response_48h,cat__month_2025-05,-1.5364732565205343
author_agent_response_48h,text__identifier,1.5254526572309515
author_agent_response_48h,text__self,1.5224571110843765
author_agent_response_48h,text__runtime,1.5206060502626155
author_agent_response_48h,text__ast,1.5097830991596815
