key,title,document,claim
monperrus2026endofreview,The End of Code Review: Coding Agents Supersede Human Inspection,main.tex,"On that view, keeping a person as the mandatory reviewer ``is a dead end'' [CITE]."
kalliamvakou2016perils,An in-depth study of the promises and perils of mining GitHub,main.tex,Mining GitHub has long been known to reward this kind of care [CITE].
li2026aidev,AIDev: Studying AI Coding Agents on GitHub,main.tex,"They count agent-authored PRs, measure how common AI review is, model reviewer order, and study how developers answer agent comments [CITE]."
selvanayagam2026a2a,AI-to-AI Code Reviews of GitHub Pull Requests,main.tex,"They count agent-authored PRs, measure how common AI review is, model reviewer order, and study how developers answer agent comments [CITE]."
zhong2026agenticreview,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,main.tex,"They count agent-authored PRs, measure how common AI review is, model reviewer order, and study how developers answer agent comments [CITE]."
cynthia2026responses,"``Go Home Copilot, You're Drunk'': Understanding Developer Responses to Agent-Generated Code Review Comments",main.tex,"They count agent-authored PRs, measure how common AI review is, model reviewer order, and study how developers answer agent comments [CITE]."
khemissi2026references,"Humans Integrate, Agents Fix: How Agent-Authored Pull Requests Are Referenced in Practice",main.tex,"They count agent-authored PRs, measure how common AI review is, model reviewer order, and study how developers answer agent comments [CITE]."
duma2026reviews,These Aren't the Reviews You're Looking For: How Humans Review AI-Generated Pull Requests,main.tex,"They count agent-authored PRs, measure how common AI review is, model reviewer order, and study how developers answer agent comments [CITE]."
zhong2026synergy,Human-AI Synergy in Agentic Code Review,main.tex,Several report that people still carry the review [CITE].
chowdhury2026industry,From Industry Claims to Empirical Reality: An Empirical Study of Code Review Agents in Pull Requests,main.tex,Several report that people still carry the review [CITE].
destefanis2026coordinate,When Agents Coordinate: Measuring Coordination in Multi-Agent AI Coding,main.tex,"Designed systems show how known agents can pass messages, roles, files, or structured disagreement [CITE]."
qiu2026adversarial,Adversarial Review: Structured Disagreement for Grounded Agentic Code Review,main.tex,"Designed systems show how known agents can pass messages, roles, files, or structured disagreement [CITE]."
zhang2026reporeviewer,RepoReviewer: A Local-First Multi-Agent Architecture for Repository-Level Code Review,main.tex,"Designed systems show how known agents can pass messages, roles, files, or structured disagreement [CITE]."
kc2026handoff,Handoff Debt: The Rediscovery Cost When Coding Agents Take Over Interrupted Tasks,main.tex,The cost of handing a task between agents has been studied under controlled interruptions [CITE].
bouraffa2025orders,Not One to Rule Them All: Mining Meaningful Code Review Orders From GitHub,main.tex,Prior work on review order compares against an alphabetical baseline [CITE]; we argue a shuffled baseline is the one that can falsify a coordination claim.
li2026aidev,AIDev: Studying AI Coding Agents on GitHub,main.tex,{Related Work} {Agent work in public repositories} AIDev maps agent-authored work at GitHub scale [CITE].
pinna2026comparing,Comparing AI Coding Agents: A Task-Stratified Analysis of Pull Request Acceptance,main.tex,"Studies of this and related data examine acceptance, failure, developer roles, merge conflicts, review signals, and cross-PR references [CITE]."
ehsani2026fail,Where Do AI Coding Agents Fail? An Empirical Study of Failed Agentic Pull Requests in GitHub,main.tex,"Studies of this and related data examine acceptance, failure, developer roles, merge conflicts, review signals, and cross-PR references [CITE]."
cynthia2026roles,Are We All Using Agents the Same Way? An Empirical Study of Core and Peripheral Developers' Use of Coding Agents,main.tex,"Studies of this and related data examine acceptance, failure, developer roles, merge conflicts, review signals, and cross-PR references [CITE]."
xu2026conflict,"AI Agent Pull Requests on GitHub: Frequency, Structure, and Merge Conflict Rates",main.tex,"Studies of this and related data examine acceptance, failure, developer roles, merge conflicts, review signals, and cross-PR references [CITE]."
nachuma2026review,When AI Teammates Meet Code Review: Collaboration Signals Shaping the Integration of Agent-Authored Pull Requests,main.tex,"Studies of this and related data examine acceptance, failure, developer roles, merge conflicts, review signals, and cross-PR references [CITE]."
khemissi2026references,"Humans Integrate, Agents Fix: How Agent-Authored Pull Requests Are Referenced in Practice",main.tex,"Studies of this and related data examine acceptance, failure, developer roles, merge conflicts, review signals, and cross-PR references [CITE]."
selvanayagam2026a2a,AI-to-AI Code Reviews of GitHub Pull Requests,main.tex,"The nearest study counts same-product and cross-product AI review, comment output, and speed of reply [CITE]."
zhong2026agenticreview,From Human-Centric to Agentic Code Review: The Impact of Different Generations of Generative AI Technology on Review Quality,main.tex,"Zhong et al. model ordered human, LLM, and agent reviewer sequences across review eras [CITE]."
bouraffa2025orders,Not One to Rule Them All: Mining Meaningful Code Review Orders From GitHub,main.tex,"Bouraffa et al. ask whether the order of review activity is meaningful at all, using an alphabetical baseline [CITE]."
zhong2026synergy,Human-AI Synergy in Agentic Code Review,main.tex,Zhong et al. report that developers adopt human suggestions far more often than agent suggestions [CITE].
chowdhury2026industry,From Industry Claims to Empirical Reality: An Empirical Study of Code Review Agents in Pull Requests,main.tex,Chowdhury et al. report a lower merge rate for PRs reviewed only by an agent than for PRs reviewed only by people [CITE].
duma2026reviews,These Aren't the Reviews You're Looking For: How Humans Review AI-Generated Pull Requests,main.tex,Duma et al. report that most AI-generated PRs get no review at all [CITE].
cynthia2026responses,"``Go Home Copilot, You're Drunk'': Understanding Developer Responses to Agent-Generated Code Review Comments",main.tex,"Cynthia et al. study how developers respond to individual agent review comments [CITE], and Lin et al. mine developer feedback to a deployed agentic reviewer [CITE]."
lin2026coderabbit,Is Agentic Code Review Helpful? Mining Developers' Feedback to CodeRabbit Reviews in the Wild,main.tex,"Cynthia et al. study how developers respond to individual agent review comments [CITE], and Lin et al. mine developer feedback to a deployed agentic reviewer [CITE]."
fatima2026footprints,On the Footprints of Reviewer Bots' Feedback on Agentic Pull Requests in OSS GitHub Repositories,main.tex,Fatima et al. find that the quality of reviewer-bot feedback shows no clear link to workflow outcomes [CITE].
wessel2022gatekeepers,Quality gatekeepers: investigating the effects of code review bots on pull request activities,main.tex,Review bots change how a PR behaves [CITE].
wessel2023ghactions,GitHub Actions: the impact on the pull request process,main.tex,Review bots change how a PR behaves [CITE].
