"dataset_id","dataset","canonical_url","associated_paper","owner","version_revision_date","license_redistribution_terms","format","size_rows","time_coverage","unit_grain","key_columns","exact_public_reply_edges","reviewer_product_identity","outcome_fields","possible_join_keys_to_aidev","rq1_fit","rq2_fit","rq3_fit","download_method","access_gate","duplication_risk","novelty_collision","external_replication_value","verdict","verdict_rationale"
"gharchive_rest","GH Archive plus GitHub REST enrichment","https://www.gharchive.org/","None; official GitHub event and REST documentation","Ilya Grigorik / GitHub public APIs","Hourly living archive; checked 2026-08-26","GH Archive site states public access but no blanket data license; GitHub users retain content rights; lawful access to public repositories is allowed under GitHub Terms; do not redistribute raw bodies without checking original licenses","Hourly JSON.gz; BigQuery tables with serialized payload JSON; REST JSON enrichment","All public GitHub timeline events since 2011-02-12; no fixed row count","2011-02-12 to present; recommended replication window 2026-04-16 through 2026-07-26 with focal PR creation on/after 2026-04-16","One public GitHub event; enriched review comment or PR record","event.id; type; actor.login; repo.name; payload.pull_request.number; payload.comment.id; REST in_reply_to_id; pull_request_review_id; created_at","YES after REST enrichment: review comments expose id and in_reply_to_id; GH Archive payload may carry the comment object but must be schema-audited","Raw actor.login only; map exact official accounts/signatures with a frozen registry","PullRequestEvent action and PR merged/closed timestamps; REST PR state/merged_at","repo.name + PR number; PR URL; GitHub repository ID; comment/review IDs","HIGH: can reconstruct trigger, batch, later owner, PR comments and push/movement","HIGH: stable login + repository-wide prior review events, subject to event completeness","HIGH: exact parent and timestamps plus later merge support the same 48h/30d landmark","BigQuery query of narrow date/event partitions; download only selected hourly files if needed; REST-fetch only candidate PRs/comments","BigQuery requires Google project/billing setup; public REST works unauthenticated at low rate and token-authenticated at higher rate","HIGH if historical periods overlap AIDev/CodAGE; LOW for frozen post-2026-04-15 cohort","GH Archive is the source behind CodAGE, so historical re-extraction is not novel; the disjoint future cohort is a temporal replication","HIGH for disjoint post-cutoff temporal replication on the same platform; not cross-platform","DOWNLOAD_METADATA_OR_SAMPLE","Do not download the archive. Pilot a narrow post-cutoff query and exact-parent enrichment; scale only if attribution and missingness pass frozen thresholds."
"swe_review_chat","SWE-Review-Chat","https://huggingface.co/datasets/Suzhen/SWE-Review-Chat","https://arxiv.org/abs/2607.13196 ; https://arxiv.org/abs/2603.15911","Suzhen Zhong; Shayan Noei; Bram Adams; Ying Zou","HF revision 408cf94c068080eda66e0f3d7e9aa0316a42cb63; 2026-08-09; full pinned download verified 2026-08-26","Apache-2.0 declared for dataset; retain attribution and check original repository/code licenses before redistribution","Parquet; one nested review_conversations list per PR","1,082,529 PR rows; 207 projects; 1.83 GB; 295/295 repository files size-verified and 293/293 LFS objects hash-verified","Records visible from February 2022; associated longitudinal paper runs through February 2026; exact dataset min/max not stated on card","One PR with ordered general discussion, reviews, inline comments and nested thread replies","repo_full_name; pr_number; pr_url; created_at; created_by/type; review_conversations.type/timestamp/reviewer/reviewer_type/review_id/comment_id/path/thread_replies; merged_at","PARTIAL schema support: nested thread_replies gives the parent bundle and child comment_id, but reply timestamp and in_reply_to_id are absent; REST can rehydrate exact topology","Reviewer login and reviewer_type are present; exact product must be remapped with a versioned official-identity registry","state; closed_at; merged_at; merged_by/type; additions; deletions","repo_full_name + pr_number; pr_url; possibly comment_id/review_id","SCHEMA HIGH after REST enrichment; REALIZED NONE because all 7 exact heterogeneous-product candidates overlap AIDev","MEDIUM-HIGH schema potential, but no disjoint exact-edge cohort remained for an independent estimate","SCHEMA HIGH after REST enrichment; REALIZED NONE after overlap exclusion left zero disjoint landmark rows","Full pinned HF download plus candidate-only REST hydration; acquisition and file-integrity manifests retained","Public and ungated","REALIZED HIGH: all 7 exact heterogeneous-product candidates occur in the AIDev backbone","Direct collision with ordered human/LLM/agent reviewer sequences, review efficiency/quality, and human-AI suggestion adoption","NONE for independent exact-edge replication; the schema is compatible but the eligible support is entirely overlapping","REJECT_EXACT_EDGE_REPLICATION","Full-corpus audit complete. Seven of seven exact heterogeneous-product candidates overlap AIDev, leaving zero disjoint REST or landmark rows; preserve this distinction between schema capability and realized independent support."
"codage","CodAGE: Coding Agent-generated GitHub Events","https://huggingface.co/datasets/taher-ghaleb/CodAGE","https://arxiv.org/abs/2608.21311","Niruthiha Selvanayagam; Taher A. Ghaleb","HF revision 48549adf5869643ca301a31bc94ceeeaacf0d1e7; 2026-08-22","CC BY 4.0 data; attribution required; associated code MIT; filtered replication files avoid redistributing raw comment bodies","Parquet; 10 event-type configurations","27,085,446 rows; 18.10 GB Hub storage; includes 6,745,324 PR, 5,727,782 review and 8,561,036 review-comment events","2024-01-01 through 2026-04-15","One attributed agent event","repo_name; created_at; actor_login; agent_type; action; pull_request.number; review.id/state/submitted_at; comment.id/body/path","NO in normalized public ReviewComment schema: comment.id is present but in_reply_to_id is absent; human response rows are outside the agent-filtered corpus","YES for attributed agent event via actor_login + agent_type; no complete human-reviewer panel","PullRequestEvent state; merged; merged_at; no valid exact-edge landmark without parent field and human responses","repo_name + pull_request.number; PR head SHA; actor login","LOW for exact handoff; HIGH only for broad AI-review co-presence","LOW: no complete user-account response/history stream","LOW: merge exists but exact exposure and human relay cannot be built","HF streaming, parquet URL selection or metadata/first-rows API; do not fetch all 18 GB","Public and ungated","VERY HIGH: same GH Archive event universe and dates; associated cohorts directly study cross-product AI review","Direct collision with AI-to-AI prevalence, product matrix, growth, volume/category and latency","LOW as external replication; useful as product-signature crosswalk and collision audit, not as more rows","DOWNLOAD_METADATA_OR_SAMPLE","Keep schemas, signatures and small cohort samples. Full download does not add the parent/human fields required by the current RQs."
"ai_ai_closed_loop","AI-to-AI Code Reviews closed-loop cohorts","https://github.com/Niruthiha/AI-AI-CodeReviews","https://arxiv.org/abs/2608.21311","Niruthiha Selvanayagam; Taher A. Ghaleb","Git commit f3d01cd621b4e231e25835c59ecbb851c8269f10; 2026-08-06","Cohort data CC BY 4.0; code MIT","Two Parquet cohort files plus YAML identity registry and analysis code","47,259 cross-product pairs / 45,269 PRs; 208,144 same-product pairs; 248,640 unique closed-loop PRs after deterministic tie handling","2024-01-01 through 2026-04-15","One PR-reviewer-product pair","repo_name; pr_number; pr_created_at; pr_user_login; author_agent; reviewer_agent; n_reviews; n_comments; first_review_at; last_review_at","NO: aggregated pair counts/times; no comment parent or later human event stream","YES: author_agent and reviewer_agent; versioned signatures.yaml available","No merge outcome in the published cohort columns","repo_name + pr_number","LOW: co-presence only, no later owner topology","LOW: author login but no human bridge/history events","NONE for exact-edge landmark","Git clone or download only cohorts/config; no need for full CodAGE","Public and ungated","DIRECT: derived from the same public event period and explicitly studies cross-product review","The closest collision: AI-to-AI closed-loop prevalence, same/cross product configurations, output and latency","NONE as an independent replication; HIGH as a reproducible novelty-boundary and identity audit","DOWNLOAD_METADATA_OR_SAMPLE","Retain the small cohorts/config for overlap and product-map audits. Do not present their rows as external confirmation of exact-edge results."
"agentreviewchat","AgentReviewChat public sample","https://huggingface.co/datasets/Suzhen/AgentReviewChat","https://arxiv.org/abs/2603.15911","Suzhen Zhong; Shayan Noei; Ying Zou; Bram Adams","HF revision 3ed116e26ff930793122550e787a47c2e7465fdc; 2026-03-24","MIT declared","JSON source; auto-converted Parquet viewer","Only 100 public rows / 5.77 MB; card describes unavailable full study corpus of 278,790 conversations, 54,330 PRs and 300 repositories","Study describes 2022-2025; public sample is mainly 2025 in inspected rows","One inline review conversation/hunk bundle","repo; pr_id; start_id; end_id; comments.comment_id/author_login/author_type/created_at; follow_up_ids; closed_at; merged_by","UNCERTAIN: conversation bundle and follow_up_ids exist, but no explicit per-child in_reply_to_id contract in the public sample; reject as exact until source-code audit","Partial via author/comment login and type; 16 agents described by paper","closed_at; merged_by login/type/merged_at; code churn","repo + pr_id; comment IDs","LOW: public sample too small and topology contract unclear","LOW-MEDIUM for sample only","LOW: outcome exists, but no powered, complete exact-edge cohort","HF download or first-rows API","Public and ungated, but full described corpus is not released on this page","VERY HIGH with SWE-Review-Chat and its associated paper; likely subset/predecessor","Direct collision with feedback type, interaction rounds, suggestion adoption and code-change outcomes","NONE beyond schema inspection","DO_NOT_USE","The accessible artifact is a 100-row sample and is superseded by SWE-Review-Chat."
"agent_archive","Agent Archive: PR Interactions","https://huggingface.co/datasets/nuprl-staging/agent-archive","https://arxiv.org/abs/2509.21891","NUPRL staging / AgentPack team","HF revision d3f11240c10ad920fd65d27b2facadb7ef52a078; 2026-01-18","No dataset license declared on Hub; do not redistribute until clarified","Parquet; nested events and raw_json stored as JSON strings","12,699 PR rows; 175 MB","AgentPack source through mid-August 2025; enrichment fetched around January 2026; card warns Timeline API exposes at most 300 events and only recent events","One agent-attributed PR with a timeline event array","repo; pr_number; sha; agent; pr_created_at; pr_merged_at; pr_user_login; events.event_type/id/user/created_at; raw_json","UNPROVEN: line_commented events exist but normalized example omits in_reply_to_id; raw_json must be sampled before use","Author product in agent; later actors are logins/types and require remapping","pr_state; pr_closed_at; pr_merged_at; merged/closed events; head_ref_force_pushed","repo + pr_number; sha/head SHA; event IDs","MEDIUM if raw parent exists; timeline truncation threatens completeness","MEDIUM: public actor logins exist, but time-limited timeline undermines prior history","MEDIUM-LOW: merge is present, exact exposure not yet valid","HF metadata/first rows or a small parquet sample","Public and ungated","MEDIUM-HIGH overlap with AgentPack and public AIDev PRs; enriched independently","AgentPack already occupies human-agent co-authored code-change data; this derivative adds PR timelines but not a proven exact reply graph","LOW-MEDIUM conditional on parent-field and completeness audit","DOWNLOAD_METADATA_OR_SAMPLE","Inspect raw_json parent coverage and obtain license clarification before any analysis. Do not assume missing timeline rows mean no activity."
"github_agentic_pr","GitHub Agentic PR Dataset","https://huggingface.co/datasets/mabujadallah/GitHub-Agentic-PR-Dataset","https://arxiv.org/abs/2507.15003","Mahmoud S. Y. Abujadallah; Mohammed Sayagh","HF revision e4fd234010234eeed28c41e4780680963527b5cd; 2026-07-21","CC BY 4.0 dataset; source code/text retain original repository licenses","Parquet relational PR, commit and file/diff tables","76,188,295 table rows; 1,959,649 PRs; 6,737,000 commits; 55,040,478 file changes; 87.3 GB current files and ~128.4 GB Hub used storage","Snapshot by 2026-07-21; exact min/max not stated on card","One PR, commit, or changed file depending on table","PR.id/number/repo_name/html_url/user/is_agent/agent/created_at/merged_at; commit.sha/pr_id; file filename/patch","NO review, reply or later-actor event tables","Author product only: Claude Code, Cursor, Copilot, Devin; no reviewer-product identity","state; closed_at; merged_at; bug-fix type","repo_name + number; html_url; PR id; commit sha","NONE","NONE","NONE for connected exposure; only merge snapshot","HF streaming or Parquet, but no acquisition recommended","Public and ungated","VERY HIGH: card explicitly says it extends AIDev","Agent-vs-human PR size, structure, bug-fix and merge questions already covered; no new public coordination construct","NONE; it adds rows/diffs, not an independent review topology","DO_NOT_USE","Massive direct AIDev extension with no review-event graph; storage cost cannot answer the current RQs."
"osaprd","OSAPRD Agentic Pull Request Dataset","https://huggingface.co/datasets/OSAPRD/OSAPRD","No associated paper located on dataset page","OSAPRD organization","HF revision 1c8ed7b6963ae31e4b601fdbfdbe83b8e8817c82; 2026-06-30; configs dated 2026-06-02","No dataset license declared on Hub; repository license fields describe source repos and are not a dataset license","Parquet; 33 product/entity configurations for PRs, files and repositories","4,910,698 PRs total: 4,392,818 from 10 agents plus 517,880 humans; ~44.2 GB Hub storage","Snapshot/config date 2026-06-02; exact event min/max not stated","One PR, changed file, or repository snapshot depending on table","url; number; author; base_repository; created_at; merged_at; review_decision; comments_count; reviews_count; author_agent; pull_request_key; file path/sha","NO: review and comment counts only, no event actors, IDs, parents or times","Author product across Claude, Codegen, Codex, Copilot, Cosine, Cursor, Devin, Jules, Junie, OpenHands; no reviewer product","state; merged_at; closed_at; review_decision; summary activity counts","PR URL; base_repository.name_with_owner + number; pull_request_key; head/base SHA","NONE for event topology","NONE","LOW: outcome exists but no exact exposure or relay","HF metadata/first rows or selected small config sample only","Public and ungated","HIGH public-PR overlap with AIDev; broader author products but unknown overlap fraction","Mostly scale/coverage collision with agent-authored PR datasets; does not occupy exact-edge topology","LOW; useful only for an author-product coverage sensitivity after license clarification","DOWNLOAD_METADATA_OR_SAMPLE","Do not fetch 44 GB. Keep schema and sample solely to compare product identity coverage; no valid current-RQ analysis is possible."
"swe_chat","SWE-chat","https://huggingface.co/datasets/SALT-NLP/SWE-chat","https://arxiv.org/abs/2604.20779","SALT-NLP / Joachim Baumann and collaborators","HF revision f66cca95b14caaa4177f7ed5eaa424608dadcffa; 2026-04-29","ODC-BY; acceptance of Hub access conditions and attribution required; respect removal requests and embedded content rights","Parquet relational tables plus raw per-session JSONL/JSON transcripts","2,692,480 conversation/tool rows; 5,851 sessions; 13,406 checkpoints; 14,459 commits; 205 repositories; ~14.7 GB Hub storage","Living dataset; snapshot/paper April 2026; exact min/max not stated","Conversation turn, session, checkpoint, commit, or repository depending on table","turn_id; session_id; checkpoint_pk; commit_sha; repo_id=owner/repo; github_username; agent; messages/tool calls; file_attribution","NO public PR review edge: ordered user-agent session turns are available but are a different construct","Session agent and agent/human commit attribution are explicit; no PR reviewer product","Commit/code survival and attribution; paper outcomes include user pushback; no PR merge landmark","repo_id + commit_sha can join AIDev repository.full_name + pr_commits.sha when a public commit overlaps","NONE for public handoff; useful only for mechanism contrast","LOW: session user identity is not repository public-review history","NONE for exact edge/merge; possible qualitative mechanism triangulation only","Accept gate, then load selected tables/configs or metadata; no full download for current paper","Public page but automatic gate requires login, contact sharing and acceptance","LOW-MEDIUM object overlap through public repos/commits; distinct session-level source","Direct collision with real human-agent session interaction, pushback, code attribution and commit survival","LOW as a joinable mechanism audit; not an external replication of PR topology","DOWNLOAD_METADATA_OR_SAMPLE","Rich but construct-incompatible. Use only if a pre-specified linked-commit mechanism analysis is added; otherwise retain metadata."
"trace_commons","Trace Commons Agent Traces","https://huggingface.co/datasets/trace-commons/agent-traces","No associated paper declared on dataset card","Trace Commons community","HF revision 112ebd4d03ce852b00e935d523107c3d0c9a65bf; 2026-06-18","CC BY 4.0 for compilation; embedded code/content may have original licenses; best-effort anonymization and takedown obligations","Parquet one row per session plus raw agent-native JSONL/JSON","30 sessions; 127 MB current files; ~206.9 MB Hub used storage","Snapshot through 2026-06-18; preview sessions mostly May-June 2026; no formal min/max","One voluntarily donated coding-agent session","harness; session_id; prompt; messages; tools; trace; metadata; sent_at","NO GitHub PR review edge; user-agent/tool sequence only","Harness identifies Claude Code, Codex, Cursor, pi or OpenCode; no reviewer relation","No standard merge or executable outcome","No reliable public repo/PR join promised after anonymization","NONE","NONE","NONE","HF metadata/first rows; no acquisition needed","Public and ungated","LOW object overlap but severe opt-in sampling and possible privacy risk","Session-trace interaction is already its own construct and does not validate public multi-agent review","NONE","DO_NOT_USE","Only 30 opt-in sessions, no stable PR edge/outcome, and explicit non-representativeness."
"swe_review_traj","SWE-Review-Traj","https://huggingface.co/datasets/Lego-X/SWE-Review-Traj","https://arxiv.org/abs/2607.06065","LegoX / Ruoyu Wang and collaborators","HF revision 587eaa89ca868365dcd84c480a87e7bde5bdb508; 2026-07-09","Apache-2.0","Parquet; JSON-encoded ShareGPT messages, tools and structured reports","8,914 trajectories; 597 MB current files","Generated in 2026 from SWE-rebench tasks; natural GitHub event period not applicable","One decision-correct agentic reviewer trajectory over a generated candidate PR","pr_instance_id; issue_instance_id; repo; base_commit; patchgen_model; model_patch; messages; tools; turns; teacher_model; decision; patch_resolved; report/judge scores","NO public reply edge; multi-turn controlled agent-tool trace","YES: patch generator and teacher reviewer models are explicit, but not public GitHub product accounts","patch_resolved; approve/request_changes; confidence; diagnosis/suggestion/grounding judge scores","repo + base_commit may link repositories/commits, but generated PR instances do not map to public AIDev PRs","NONE for field topology","NONE","NONE for field merge; controlled mechanism counterpoint only","HF metadata/sample or selected parquet; no full acquisition for current RQs","Public and ungated","LOW object overlap; high conceptual overlap with multi-agent review/revision","Direct collision with controlled generate-review-revise benefit and agentic reviewer training traces","LOW as controlled triangulation; not field replication","DOWNLOAD_METADATA_OR_SAMPLE","Use documentation/sample to bound claims. Do not mix controlled resolved outcomes with observational public merge."
"swe_review_bench","SWE-Review-Bench","https://huggingface.co/datasets/Lego-X/SWE-Review-Bench","https://arxiv.org/abs/2607.06065","LegoX / Ruoyu Wang and collaborators","HF revision 4b3fdf8ba06bdf3f98947b5ae522b40d69b6b030; 2026-07-09","Apache-2.0","Parquet; three generator splits","1,384 generated PR instances across 500 SWE-bench Verified issues; ~22.3 MB Hub used storage","Generated in 2026; based on SWE-bench Verified rather than a natural review-event window","One issue plus AI-generated candidate PR/patch","instance_id; repo; base_commit; problem_statement; model_patch; resolved; tests; generator_model; pr_title/body","NO conversation or public parent edge","Author generator model only; reviewer appears in experiment outputs, not base row","resolved and executable tests; paper reports resolve rate after revision","repo + base_commit only; no natural public PR number","NONE","NONE","NONE for observational landmark","HF metadata/sample","Public and ungated","LOW row overlap; conceptual overlap with agent review effectiveness","Agentic review decision accuracy and downstream revision usefulness are already tested in controlled conditions","LOW as benchmark context; not an external field replication","DOWNLOAD_METADATA_OR_SAMPLE","Retain metadata to separate executable correctness from merge association; no current-RQ need for full rows."
