key,year,work,source_url,evidence_relevant_to_overlap,overlap_risk,residual_novelty,verification
lidev,2026,"Li, Zhang, and Hassan; AIDev: Studying AI Coding Agents on GitHub",https://doi.org/10.1145/3793302.3797249,"Introduces AIDev and describes multi-agent adoption and PR outcomes",medium,"No outcome-known sequential transition design","publisher/DOI and paper"
pinna,2026,"Pinna et al.; Comparing AI Coding Agents: A Task-Stratified Analysis of Pull Request Acceptance",https://arxiv.org/abs/2602.08915,"Task type can explain acceptance differences better than a global agent ranking",high,"Transition study must adjust for task and agent pair","abstract/full text"
ehsani,2026,"Ehsani et al.; Where Do AI Coding Agents Fail?",https://arxiv.org/abs/2601.15195,"Characterizes merged and unmerged PRs and correlates of rejection",high,"Does not study the next outcome-known episode","abstract/full text"
peralta,2026,"Peralta et al.; Why Are Agentic Pull Requests Merged or Rejected?",https://arxiv.org/abs/2605.22534,"Only a subset of rejected PRs are clearly attributable to agent failure",high,"Supports neutral closed-unmerged terminology; no downstream transition","abstract/full text"
xu,2026,"Xu et al.; AI Agent Pull Requests on GitHub: Frequency, Structure, and Merge Conflict Rates",https://arxiv.org/abs/2607.04697,"Studies concurrent same- and cross-agent PR conflict",very high,"Present study uses non-overlapping sequential episodes","abstract/full text"
shastry,2026,"Shastry et al.; Beyond Isolated Tasks: A Framework for Evaluating Coding Agents on Sequential Software Evolution",https://arxiv.org/abs/2604.03035,"Studies artifact carryover across benchmark tasks",medium,"No observed brand/contributor reconfiguration in OSS","abstract/full text"
chung,2026,"Chung and Hassan; Collaborator or Assistant?",https://arxiv.org/abs/2605.08017,"Separates agent initiation from human governance within PR lifecycles",medium,"Does not identify cross-PR tool-selection decisions","abstract/full text"
cynthia,2026,"Cynthia, Das, and Roy; Are We All Using Agents the Same Way?",https://doi.org/10.1145/3793302.3793377,"Developer roles differ in delegation, review, and CI verification",high,"Contributor continuity must be a first-class transition dimension","publisher/DOI and paper"
yoshioka,2026,"Yoshioka et al.; Let's Make Every Pull Request Meaningful",https://doi.org/10.1145/3793302.3793567,"Submitter attributes strongly shape merge outcomes",very high,"Separating contributor turnover from brand change is residual novelty","publisher/DOI and paper"
nachuma,2026,"Nachuma and Zibran; When AI Teammates Meet Code Review",https://arxiv.org/abs/2602.19441,"Review engagement and PR change dynamics relate to integration",medium,"Review is a mechanism/confounder; no outcome-conditioned next-agent transition","abstract/full text"
yu,2026,"Yu et al.; Habituation at the Gate",https://arxiv.org/abs/2606.22721,"Reviewer approval and scrutiny evolve with exposure and time",medium,"Calendar/exposure adjustment needed; no brand-contributor transition taxonomy","abstract/full text"
longoni,2023,"Longoni, Cian, and Kyung; Algorithmic Transference",https://doi.org/10.1177/00222437221110139,"Experiments show failure perceptions can generalize across AI systems",high,"Trace data do not measure perception or trust; theory only","publisher/DOI and paper"
hong,2023,"Hong et al.; MetaGPT",https://arxiv.org/abs/2308.00352,"Architected role-based multi-agent workflow",high,"Sequential repository participation is not agent-agent coordination","abstract/full text"
qian,2023,"Qian et al.; ChatDev",https://arxiv.org/abs/2307.07924,"Architected communicating-agent software workflow",high,"Sequential repository participation is not agent-agent coordination","abstract/full text"
handoffdebt,2026,"KC and Budathoki; Handoff Debt: The Rediscovery Cost When Coding Agents Take Over Interrupted Tasks",https://arxiv.org/abs/2606.02875,"Defines coding-agent takeover and tests context-bearing handoff views on controlled interrupted tasks",very high,"Present study measures real-repository exact-file successor prevalence and context-sensitive outcomes rather than introducing handoff debt","abstract/full text"
zhong,2026,"Zhong et al.; From Human-Centric to Agentic Code Review",https://arxiv.org/abs/2607.13196,"Studies review efficiency and quality across human LLM-assisted and agentic review eras",high,"Review is secondary; exact-file cross-PR handoff remains distinct","abstract/full text"
lin,2026,"Lin et al.; Is Agentic Code Review Helpful?",https://arxiv.org/abs/2607.03316,"Mines developer feedback to agentic CodeRabbit reviews",medium,"Reviewer-agent feedback differs from contributor-agent artifact succession","abstract/full text"
