threshold_hours,exposure,negative_control_outcome,outcome_prevalence,dropped_controls,estimate,ci_low,ci_high,p_value,n_prs,repositories,passes_null_expectation,interpretation
1,exact_parent_reply_by_1h,pre_trigger_decisive_review,0.04029990627928772,pre_decisive_reviews,-0.0006667017018529599,-0.05662495057252297,0.05529154716881704,0.981369859399619,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
1,exact_parent_reply_by_1h,pre_trigger_force_push,0.08528584817244611,pre_force_pushes,0.003415159409909902,-0.07561585178128717,0.08244617060110697,0.9325032881279922,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
1,exact_parent_reply_by_1h,pre_trigger_user_event,0.2521087160262418,log1p_pre_events;pre_user_events,0.16650662453391082,0.048703792651234465,0.28430945641658717,0.005600789132249635,1067,469,False,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
6,exact_parent_reply_by_6h,pre_trigger_decisive_review,0.04029990627928772,pre_decisive_reviews,-0.005217144916690569,-0.04814899339608199,0.037714703562700846,0.811743142035226,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
6,exact_parent_reply_by_6h,pre_trigger_force_push,0.08528584817244611,pre_force_pushes,0.004796912498311245,-0.06478772974855064,0.07438155474517312,0.8925226913768443,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
6,exact_parent_reply_by_6h,pre_trigger_user_event,0.2521087160262418,log1p_pre_events;pre_user_events,0.05756487595885902,-0.03908607283041156,0.15421582474812962,0.24307073088073305,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
24,exact_parent_reply_by_24h,pre_trigger_decisive_review,0.04029990627928772,pre_decisive_reviews,-0.011160083362805997,-0.04730338820306741,0.024983221477455422,0.5450565313943283,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
24,exact_parent_reply_by_24h,pre_trigger_force_push,0.08528584817244611,pre_force_pushes,0.00324374943864863,-0.055716523539139036,0.06220402241643629,0.9141312737543722,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
24,exact_parent_reply_by_24h,pre_trigger_user_event,0.2521087160262418,log1p_pre_events;pre_user_events,0.08280606619976684,-0.00724462876839084,0.17285676116792453,0.07150076820361634,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
48,exact_parent_reply_by_48h,pre_trigger_decisive_review,0.04029990627928772,pre_decisive_reviews,-0.0033370817196456144,-0.03981310732054475,0.033138943881253526,0.8576933517103911,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
48,exact_parent_reply_by_48h,pre_trigger_force_push,0.08528584817244611,pre_force_pushes,0.012925071851526358,-0.0433662331891741,0.06921637689222682,0.6526900987419033,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
48,exact_parent_reply_by_48h,pre_trigger_user_event,0.2521087160262418,log1p_pre_events;pre_user_events,0.07031058018461356,-0.016715031595185906,0.157336191964413,0.11330454071288378,1067,469,True,outcome completed strictly before the trigger; a non-null estimate would indicate residual pre-trigger confounding rather than an effect
